Berri1;CSC;Mais1;Mais2;Parc;PierDup;Rachel1;Totem_Laurier
392;0;193;476;189;6;422;344
398;0;256;549;235;10;451;338
209;30;161;361;179;24;326;320
299;88;219;379;174;57;402;298
675;326;452;1038;548;32;747;668
957;479;664;1455;748;70;1023;758
856;549;626;1309;762;105;587;700
1088;590;707;1512;906;156;786;978
749;377;503;963;554;153;641;757
822;443;509;1101;568;449;1264;961
599;380;311;693;399;321;2730;647
371;245;276;608;343;66;2315;524
1055;547;669;1316;840;105;2835;818
1030;614;719;1470;869;119;3085;947
1466;855;1027;2022;1243;261;2492;1147
1098;543;723;1384;761;145;2553;995
771;414;506;1015;602;335;1263;965
509;375;337;749;447;158;936;701
1878;1170;1225;2414;1563;568;1412;1356
1335;783;886;1734;1146;213;1435;1160
1967;1230;1328;2536;1649;452;773;1450
1814;994;1183;2283;1424;323;1178;1286
420;141;270;519;227;22;1523;447
265;10;172;328;176;36;1602;435
889;317;495;963;588;437;1332;818
2862;1420;1810;3321;2051;830;2359;1819
1279;647;934;1767;1110;159;2696;1129
3486;1861;2415;4196;2431;1157;2479;2325
2251;1123;1653;2959;1726;324;2694;1659
3109;1521;2170;3809;2144;903;2366;2033
987;504;635;1203;689;294;1802;1053
1847;808;1271;1733;1038;818;1776;1246
3328;1720;2221;4060;2401;1063;1242;2124
3722;1953;2442;4346;2569;1186;2339;2486
3782;2021;2579;4565;2579;1150;3560;2270
3002;1610;2182;3914;2319;622;3406;2193
2865;1406;2125;3657;2197;765;3369;2087
2840;1155;1812;3151;1511;1663;3944;2331
3736;1536;1917;3327;2012;3218;4915;2609
4149;2039;2742;4951;2843;1416;4473;2734
4671;2262;3163;5312;3082;1632;4928;2970
5803;2946;4121;6797;3672;2819;6338;3565
5849;2829;4136;7176;3732;1900;5902;3551
5769;2520;4156;7000;3508;2135;6533;3724
4628;1840;2690;4795;2176;3009;5821;3359
4652;1967;2341;4724;2370;3386;6170;3265
5593;3103;3977;6945;3728;2321;6253;3579
6323;3268;4538;7608;4012;2651;6642;3806
6428;3212;4435;7657;4103;2683;6683;1937
4467;2158;3313;6136;3084;1113;4687;2960
4941;2398;3560;6231;3154;1649;5308;3223
1406;716;1108;2153;953;388;2312;1595
1744;1020;1110;2162;1004;818;2608;1608
2678;1397;1879;3305;2130;467;2974;2002
4757;2419;3437;6018;3200;1598;4946;2836
3644;1844;2404;4438;2587;808;3962;2311
4641;2271;3458;5895;3255;1278;4903;2973
5089;2331;4009;6008;3135;1862;5518;3147
4167;1686;2447;4340;2165;3026;5141;3213
2771;1133;1581;2910;1384;2032;3309;1884
2845;1370;1763;3131;1487;2184;3843;2260
3177;1577;2268;4075;2123;666;3367;2321
4662;2224;3292;5812;2965;1362;4555;3083
3386;1527;2421;4372;2412;566;3337;2360
2207;941;1603;2980;1513;271;2391;1678
792;327;543;1061;561;178;1263;919
